CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PSICOLOGIA,Bacharelado,Presencial,4,-,240,08/10/2018,"Ciências sociais, negócios e direito",Psicologia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,PSICOLOGIA,Bacharelado,Presencial,5,3,120,22/11/2002,"Ciências sociais, negócios e direito",Psicologia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,4,-,60,30/10/2014,"Ciências sociais, negócios e direito",Publicidade e propaganda
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,-,60,30/08/2017,"Ciências sociais, negócios e direito",Publicidade e propaganda
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Presencial,-,3,100,24/06/1999,"Ciências sociais, negócios e direito",Publicidade e propaganda
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,COMUNICAÇÃO SOCIAL - RADIO E TELEVISÃO,Bacharelado,Presencial,4,-,60,29/11/2012,"Ciências sociais, negócios e direito",Rádio e tele-jornalismo
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,SISTEMAS DE INFORMAÇÃO,Bacharelado,Presencial,3,2,100,28/10/2002,"Ciências, matemática e computação",Sistemas de informação
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,TEOLOGIA,Bacharelado,Presencial,5,3,105,05/03/2002,Humanidades e artes,Teologia
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,TRADUTOR E INTÉRPRETE,Bacharelado,Presencial,5,3,50,06/08/1998,Humanidades e artes,Tradutor e intérprete
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO,FECAP,ADMINISTRAÇÃO,Bacharelado,Presencial,5,4,975,-,"Ciências sociais, negócios e direito",Administração
